mp_index,lon,lat,route_count,direct_count,quality_score,name,address
63,116.673920,39.908707,11,0,2.2800,通州东关西(公交站),322路;322路快车;435路;666路;667路;804路;806路;T19路;T41路;T62路;T6路;T71路;夜27路
64,116.617203,39.924987,14,0,2.2800,地铁草房站(公交站),306路;435路;488路;499路;517路;587路;639路;675路;824路;911路;专175路;专39路;巡游公交草房区域晚班;快速直达专线105路;快速直达专线30路
65,116.688776,39.917313,8,0,2.2800,耿庄桥南(公交站),442路;442路区间;552路;589路;667路;T44路;T60路;T61路;T62路
66,116.679407,39.900863,8,0,2.2800,西上园(公交站),317路;552路;809路;913路;T107路;T44路;T71路;专208路内环;专208路外环
67,116.685553,39.891445,8,0,2.2800,玉桥东路(公交站),317路;435路;587路;591路;649路;806路;T18路;T45路;T4路;T6路
68,116.776918,39.969314,3,1,2.2300,世纪名苑(公交站),815路快;815路快(景辉南街);819路;893路
69,116.687418,39.901853,7,0,2.1200,运河明珠家园(公交站),317路;552路;809路;913路;T44路;T71路;专208路内环;专208路外环
70,116.694183,39.950476,7,0,2.1200,疃里一区(公交站),316路;388路;388路快车;552路;675路;T61路;专64路;专88路
71,116.677465,39.895690,7,0,2.1200,玉桥中路(公交站),435路;666路;806路;913路;T107路;T44路;T4路;T6路;专208路内环;专208路外环
72,116.625029,39.906233,6,0,1.9600,八里桥(公交站),322路;615路;666路;668路;668路区间快车;807路;夜27路
73,116.695364,39.905260,6,0,1.9600,运河湾小区(公交站),552路;809路;913路;T45路;T60路;T71路
74,116.650951,39.934601,1,1,1.9100,邓家窑桥北(公交站),813路
75,116.684609,39.946139,5,0,1.8000,李庄佳苑(公交站),552路;675路;824路;T44路;专88路;快速直达专线5路
76,116.717747,39.916762,5,0,1.8000,通州古城村(公交站),804路;T18路;T19路;T41路;T48路
77,116.708597,39.909675,5,0,1.8000,北京通州站东广场(公交站),442路;666路;T109路;T115路;T45路;通游专线1路
78,116.628902,39.926975,5,0,1.8000,邓家窑(公交站),435路;587路;675路;824路;911路
79,116.701630,39.956764,5,0,1.8000,疃里公交场站(公交站),316路;388路;388路快车;589路;824路;专64路;快速直达专线5路
80,116.734887,39.929770,5,0,1.8000,丁各庄(公交站),T18路;T19路;T48路;专118路;通医专线12路
81,116.673630,39.930173,5,0,1.8000,焦王庄南口(公交站),615路;667路;824路;T60路;T62路
82,116.752968,39.944067,1,0,1.1600,任庄村东口(公交站),T19路
83,116.717818,39.934487,3,0,1.4800,含章园东(公交站),专118路;专82路;通医专线16路
84,116.662730,39.901398,1,0,1.1600,通州车站路口北(公交站),342路
85,116.717121,39.927406,1,0,1.1600,玉成东路南口(公交站),通医专线16路
86,116.693130,39.888306,1,0,1.1600,玉桥东一路(公交站),T112路
87,116.676411,39.904258,6,0,1.9600,西上园小区西门(公交站),435路;589路;666路;806路;T107路;T6路;T71路
88,116.679714,39.890326,4,0,1.6400,玉桥南里(公交站),342路;668路;668路区间快车;913路;T107路
